iter	RMSE
0	14.4968379
1	14.11766445
2	13.76747749
3	13.40263651
4	13.0642077
5	12.76645045
6	12.4599611
7	12.18948992
8	11.90338784
9	11.62327675
10	11.33638943
11	11.09502525
12	10.84380366
13	10.60510442
14	10.3660821
15	10.12297659
16	9.91419351
17	9.705600771
18	9.501643129
19	9.312483686
20	9.146648682
21	8.978486483
22	8.817033914
23	8.64964297
24	8.507544317
25	8.367860725
26	8.236014132
27	8.108774933
28	7.986252863
29	7.864349093
30	7.752255961
31	7.644968727
32	7.538370665
33	7.441884813
34	7.342326685
35	7.247537136
36	7.153367782
37	7.080556089
38	6.996690736
39	6.925449986
40	6.854267997
41	6.781081249
42	6.718779314
43	6.660799118
44	6.599679467
45	6.543681681
46	6.487485384
47	6.431829058
48	6.376462089
49	6.326724538
50	6.281065084
51	6.238967465
52	6.192266687
53	6.145754946
54	6.100459846
55	6.059879604
56	6.02155269
57	5.98891753
58	5.956062308
59	5.925885172
60	5.897967999
61	5.867073717
62	5.838646273
63	5.806787945
64	5.777387851
65	5.749996651
66	5.725849447
67	5.700239818
68	5.67487956
69	5.650274555
70	5.629462326
71	5.611307734
72	5.59440987
73	5.577573235
74	5.558354838
75	5.54076785
76	5.524456602
77	5.50518205
78	5.486250103
79	5.470288679
80	5.460125407
81	5.445674927
82	5.430228782
83	5.415944112
84	5.410110186
85	5.395905762
86	5.386281531
87	5.376169771
88	5.361226563
89	5.350296458
90	5.336938062
91	5.32696425
92	5.317160619
93	5.30796751
94	5.297467034
95	5.285711209
96	5.276277873
97	5.267966635
98	5.266191338
99	5.258233473
100	5.251117064
101	5.24853981
102	5.237139563
103	5.228450256
104	5.215923095
105	5.207431384
106	5.198251437
107	5.192204363
108	5.184339109
109	5.17835608
110	5.175699494
111	5.169064854
112	5.163417833
113	5.157503122
114	5.150199229
115	5.141980959
116	5.136185272
117	5.131711619
118	5.127413014
119	5.12606083
120	5.119416401
121	5.108574468
122	5.101323794
123	5.099445728
124	5.093513028
125	5.087690841
126	5.084114568
127	5.079153554
128	5.071133647
129	5.06528573
130	5.057661225
131	5.052714772
132	5.048072091
133	5.044569815
134	5.039302286
135	5.034245663
136	5.028646946
137	5.026028662
138	5.018987195
139	5.01526212
140	5.012520863
141	5.009156725
142	5.005775633
143	5.003959814
144	4.997660046
145	4.991772972
146	4.988547214
147	4.981804318
148	4.976445454
149	4.974232038
150	4.966437576
151	4.958175388
152	4.95309791
153	4.949398625
154	4.9445483
155	4.941857122
156	4.93940263
157	4.935057737
158	4.929905741
159	4.927742776
160	4.921821522
161	4.916859512
162	4.916028196
163	4.909149521
164	4.902199515
165	4.897720602
166	4.894447199
167	4.891166855
168	4.886617845
169	4.883646019
170	4.876109824
171	4.87169907
172	4.86669509
173	4.863591762
174	4.856411251
175	4.852664793
176	4.84906868
177	4.846320572
178	4.841103602
179	4.837365006
180	4.832495051
181	4.830195926
182	4.823291896
183	4.81931395
184	4.813729506
185	4.808060681
186	4.805404952
187	4.804233992
188	4.800783231
189	4.795277835
190	4.792946113
191	4.79034823
192	4.78511777
193	4.782885344
194	4.779584948
195	4.773581882
196	4.766833976
197	4.761022651
198	4.75409697
199	4.751751052
200	4.751056505
201	4.750193357
202	4.746699728
203	4.742372252
204	4.738298418
205	4.734997545
206	4.732295411
207	4.728382926
208	4.727344151
209	4.722488715
210	4.7187306
211	4.717036716
212	4.714113711
213	4.708117581
214	4.703616328
215	4.700894913
216	4.695555608
217	4.694984784
218	4.692365393
219	4.691737049
220	4.686705303
221	4.682705903
222	4.675500515
223	4.668875509
224	4.663218012
225	4.659087444
226	4.657045208
227	4.654758873
228	4.65412319
229	4.649005755
230	4.646411705
231	4.645416165
232	4.640323315
233	4.635474455
234	4.630120552
235	4.627928681
236	4.62576971
237	4.621264148
238	4.616936291
239	4.613501957
240	4.609347651
241	4.605937316
242	4.603247331
243	4.601617382
244	4.600790567
245	4.595674519
246	4.595073307
247	4.59448748
248	4.589264566
249	4.583700048
250	4.582724614
251	4.581030167
252	4.576033723
253	4.573780562
254	4.56899825
255	4.5669181
256	4.562447947
257	4.560089702
258	4.559005491
259	4.55754935
260	4.552813638
261	4.549186778
262	4.547052637
263	4.542552095
264	4.536357734
265	4.532164699
266	4.527360424
267	4.522777556
268	4.516738804
269	4.516178572
270	4.510883794
271	4.50616084
272	4.5042053
273	4.500910193
274	4.496486375
275	4.49553693
276	4.492789926
277	4.489213892
278	4.485907353
279	4.478877891
280	4.476609912
281	4.473706616
282	4.468805772
283	4.465552443
284	4.45986447
285	4.459231537
286	4.455743072
287	4.45517269
288	4.449656687
289	4.446802192
290	4.440317649
291	4.437643047
292	4.434268571
293	4.430856512
294	4.42764212
295	4.423050926
296	4.417994112
297	4.417352449
298	4.415626455
299	4.411565897
300	4.409783499
301	4.405838847
302	4.403247069
303	4.399104892
304	4.397003878
305	4.391831765
306	4.38931789
307	4.384011519
308	4.38090895
309	4.380436609
310	4.376479657
311	4.376124839
312	4.372385724
313	4.366607345
314	4.365088171
315	4.35935276
316	4.355313898
317	4.353520546
318	4.351433417
319	4.351120679
320	4.350786131
321	4.347330835
322	4.34274151
323	4.336059687
324	4.333592226
325	4.332196566
326	4.331599928
327	4.327692879
328	4.322943294
329	4.318697823
330	4.3162028
331	4.312462308
332	4.312165793
333	4.310053255
334	4.3074552
335	4.302719041
336	4.30174264
337	4.30034757
338	4.298392517
339	4.296185035
340	4.292385434
341	4.292142429
342	4.290280856
343	4.286856753
344	4.282642671
345	4.280769655
346	4.27832142
347	4.276268968
348	4.272874068
349	4.272425315
350	4.271294568
351	4.270334313
352	4.265761711
353	4.261470657
354	4.260772244
355	4.256353352
356	4.254714129
357	4.251110616
358	4.24540731
359	4.241915504
360	4.239305061
361	4.237036289
362	4.234678589
363	4.228556433
364	4.225218793
365	4.222219343
366	4.218708861
367	4.216738041
368	4.214936098
369	4.214688887
370	4.211222203
371	4.206902327
372	4.202010528
373	4.197749441
374	4.192466239
375	4.189961424
376	4.187805532
377	4.186911331
378	4.182503206
379	4.179196943
380	4.174199577
381	4.173739876
382	4.172320719
383	4.168877551
384	4.164290239
385	4.157313241
386	4.154666234
387	4.152288731
388	4.149842353
389	4.146715702
390	4.144828949
391	4.140598816
392	4.139081718
393	4.137183138
394	4.136925722
395	4.135300686
396	4.133979633
397	4.131047958
398	4.129006938
399	4.128141297
400	4.127838456
401	4.125384079
402	4.120753642
403	4.117290489
404	4.114027461
405	4.108608224
406	4.104129309
407	4.103822605
408	4.100562747
409	4.098701268
410	4.098231424
411	4.095936218
412	4.091908762
413	4.086901447
414	4.083665482
415	4.080788319
416	4.080524438
417	4.077454573
418	4.073793558
419	4.070806798
420	4.068371879
421	4.066324441
422	4.062316641
423	4.058607586
424	4.054048433
425	4.051962318
426	4.051277889
427	4.047817283
428	4.044648077
429	4.04089928
430	4.039369803
431	4.037785355
432	4.034089919
433	4.033469434
434	4.029537234
435	4.027082395
436	4.025678682
437	4.024067455
438	4.021369358
439	4.018673194
440	4.018465696
441	4.018110941
442	4.016518557
443	4.014978911
444	4.013703328
445	4.01084386
446	4.009568746
447	4.006793974
448	4.004898087
449	3.998984537
450	3.995570363
451	3.99521909
452	3.992311086
453	3.989254755
454	3.987448794
455	3.986602777
456	3.985322547
457	3.985154244
458	3.984483209
459	3.981846222
460	3.976095432
461	3.97205928
462	3.96949256
463	3.96547814
464	3.964192189
465	3.963011279
466	3.9627543
467	3.960810719
468	3.960253996
469	3.957439346
470	3.956600773
471	3.954937051
472	3.954745842
473	3.953505536
474	3.94864648
475	3.947005926
476	3.945475947
477	3.942543902
478	3.937686373
479	3.934216587
480	3.93102355
481	3.929090273
482	3.927301808
483	3.924141997
484	3.923990326
485	3.921339631
486	3.918385321
487	3.917300655
488	3.915247764
