iter	Passed	Remaining
0	154	154292
1	155	77785
2	157	52499
3	160	40057
4	162	32429
5	164	27274
6	167	23825
7	169	20968
8	171	18871
9	174	17255
10	176	15885
11	177	14650
12	181	13752
13	182	12868
14	184	12088
15	186	11478
16	188	10911
17	189	10359
18	192	9930
19	194	9538
20	196	9148
21	197	8787
22	199	8489
23	201	8206
24	203	7917
25	204	7647
26	205	7416
27	207	7202
28	208	6990
29	209	6785
30	210	6591
31	211	6407
32	213	6254
33	214	6101
34	216	5957
35	217	5820
36	218	5687
37	220	5569
38	221	5459
39	222	5345
40	224	5239
41	225	5132
42	225	5024
43	226	4929
44	227	4835
45	228	4747
46	229	4660
47	230	4573
48	231	4489
49	232	4409
50	232	4331
51	233	4259
52	234	4190
53	235	4123
54	236	4058
55	236	3993
56	237	3929
57	238	3868
58	238	3810
59	239	3753
60	240	3699
61	241	3646
62	241	3596
63	242	3549
64	243	3501
65	244	3454
66	244	3409
67	245	3365
68	246	3322
69	246	3280
70	247	3239
71	248	3203
72	249	3169
73	250	3136
74	251	3100
75	252	3067
76	253	3032
77	253	2999
78	254	2966
79	255	2939
80	256	2906
81	257	2878
82	258	2850
83	258	2821
84	259	2790
85	259	2762
86	260	2734
87	261	2707
88	261	2680
89	262	2655
90	263	2632
91	264	2609
92	265	2586
93	265	2563
94	266	2539
95	267	2517
96	268	2495
97	268	2474
98	269	2449
99	269	2429
100	271	2416
101	271	2394
102	272	2377
103	273	2358
104	274	2338
105	275	2319
106	275	2300
107	276	2282
108	276	2264
109	277	2248
110	278	2230
111	279	2216
112	280	2201
113	281	2184
114	281	2168
115	282	2152
116	283	2137
117	283	2121
118	284	2106
119	284	2089
120	285	2076
121	286	2062
122	287	2050
123	287	2033
124	288	2020
125	289	2007
126	290	1993
127	290	1981
128	291	1968
129	292	1955
130	293	1943
131	293	1932
132	294	1921
133	295	1911
134	296	1899
135	297	1887
136	297	1876
137	298	1864
138	299	1853
139	300	1842
140	301	1834
141	302	1825
142	303	1816
143	303	1805
144	304	1794
145	305	1784
146	305	1773
147	306	1763
148	306	1753
149	307	1744
150	308	1736
151	309	1727
152	310	1717
153	310	1708
154	311	1698
155	312	1689
156	312	1680
157	313	1670
158	314	1661
159	314	1652
160	315	1645
161	316	1639
162	317	1629
163	318	1621
164	318	1613
165	319	1604
166	320	1596
167	320	1588
168	321	1580
169	322	1572
170	322	1565
171	323	1558
172	324	1551
173	325	1544
174	325	1536
175	326	1528
176	327	1521
177	327	1514
178	328	1506
179	329	1499
180	329	1492
181	330	1486
182	331	1481
183	332	1474
184	333	1467
185	333	1461
186	334	1454
187	335	1447
188	335	1441
189	336	1434
190	337	1427
191	337	1421
192	338	1416
193	339	1410
194	340	1405
195	341	1399
196	341	1393
197	342	1386
198	343	1381
199	343	1375
200	344	1369
201	345	1363
202	346	1358
203	346	1352
204	347	1347
205	348	1342
206	348	1336
207	349	1330
208	350	1325
209	350	1319
210	351	1313
211	351	1308
212	352	1303
213	353	1299
214	354	1294
215	355	1289
216	356	1284
